user,timestamp,process_name,is_suspicious_process,cpu_percent,memory_mb,department
EMP-1085,2024-01-01 11:04:00,chrome.exe,0,35.0,1789.1,Legal
EMP-1041,2024-01-01 21:12:00,notepad.exe,0,68.8,3762.8,Engineering
EMP-1031,2024-01-01 11:23:00,notepad.exe,0,67.9,2932.1,Engineering
EMP-1024,2024-01-01 03:28:00,slack.exe,0,94.6,692.4,Sales
EMP-1074,2024-01-01 02:47:00,word.exe,0,94.6,2940.8,Sales
EMP-1058,2024-01-01 16:45:00,teams.exe,0,74.1,862.6,Research & Development
EMP-1051,2024-01-01 21:30:00,slack.exe,0,80.3,695.9,Engineering
EMP-1062,2024-01-01 23:59:00,notepad.exe,0,99.7,1386.4,Finance
EMP-1057,2024-01-01 01:40:00,excel.exe,0,89.5,1868.8,Executive
EMP-1021,2024-01-01 17:29:00,slack.exe,0,21.3,708.0,Engineering
EMP-1022,2024-01-01 23:23:00,python.exe,0,97.6,1767.7,Finance
EMP-1061,2024-01-01 02:42:00,teams.exe,0,31.6,2751.0,Engineering
EMP-1084,2024-01-01 13:45:00,outlook.exe,0,5.4,1875.7,Sales
EMP-1042,2024-01-01 22:12:00,excel.exe,0,17.1,2642.7,Finance
EMP-1028,2024-01-01 16:19:00,code.exe,0,2.7,1681.1,Research & Development
EMP-1020,2024-01-01 11:10:00,slack.exe,0,78.4,1448.7,Operations
EMP-1098,2024-01-01 09:11:00,excel.exe,0,29.7,806.0,Research & Development
EMP-1099,2024-01-01 19:43:00,word.exe,0,94.1,2472.9,Marketing
EMP-1087,2024-01-01 14:30:00,teams.exe,0,43.2,2355.9,Executive
EMP-1035,2024-01-01 11:45:00,outlook.exe,0,69.4,1843.3,Legal
EMP-1007,2024-01-01 06:17:00,word.exe,0,71.4,3567.6,Executive
EMP-1096,2024-01-01 18:24:00,zoom.exe,0,28.3,1023.1,IT Security
EMP-1043,2024-01-01 13:11:00,zoom.exe,0,94.8,2429.7,Human Resources
EMP-1056,2024-01-01 21:45:00,zoom.exe,0,45.4,3190.9,IT Security
EMP-1018,2024-01-01 03:46:00,word.exe,0,25.1,1256.0,Research & Development
EMP-1100,2024-01-01 14:07:00,outlook.exe,0,89.0,3964.2,Operations
EMP-1019,2024-01-01 19:33:00,code.exe,0,20.6,485.3,Marketing
EMP-1094,2024-01-01 19:55:00,slack.exe,0,88.1,1398.7,Sales
EMP-1043,2024-01-01 03:58:00,excel.exe,0,12.0,793.3,Human Resources
EMP-1007,2024-01-01 04:16:00,notepad.exe,0,36.9,2294.9,Executive
EMP-1060,2024-01-01 12:15:00,code.exe,0,76.9,1138.7,Operations
EMP-1053,2024-01-01 10:11:00,code.exe,0,58.4,817.5,Human Resources
EMP-1075,2024-01-01 18:49:00,outlook.exe,0,62.9,3963.2,Legal
EMP-1090,2024-01-01 04:51:00,slack.exe,0,21.1,1875.6,Operations
EMP-1074,2024-01-01 18:06:00,slack.exe,0,33.0,2192.5,Sales
EMP-1074,2024-01-01 01:21:00,python.exe,0,87.0,452.6,Sales
EMP-1031,2024-01-01 07:16:00,word.exe,0,65.6,3557.2,Engineering
EMP-1080,2024-01-01 09:11:00,outlook.exe,0,51.5,271.5,Operations
EMP-1018,2024-01-01 09:04:00,excel.exe,0,96.0,3954.8,Research & Development
EMP-1008,2024-01-01 06:12:00,code.exe,0,83.1,2789.5,Research & Development
EMP-1006,2024-01-01 17:19:00,word.exe,0,83.3,2378.7,IT Security
EMP-1024,2024-01-01 14:08:00,code.exe,0,50.6,3180.3,Sales
EMP-1082,2024-01-01 22:40:00,code.exe,0,44.1,3901.1,Finance
EMP-1086,2024-01-01 12:15:00,chrome.exe,0,42.3,628.7,IT Security
EMP-1031,2024-01-01 01:42:00,python.exe,0,91.9,2829.3,Engineering
EMP-1056,2024-01-01 20:49:00,python.exe,0,33.0,1891.8,IT Security
EMP-1051,2024-01-01 07:32:00,teams.exe,0,13.9,2928.3,Engineering
EMP-1074,2024-01-01 08:07:00,zoom.exe,0,41.8,2365.4,Sales
EMP-1053,2024-01-01 06:16:00,zoom.exe,0,45.1,3566.0,Human Resources
EMP-1030,2024-01-01 21:43:00,chrome.exe,0,25.1,754.3,Operations
EMP-1048,2024-01-01 13:05:00,python.exe,0,4.9,746.7,Research & Development
EMP-1010,2024-01-01 14:23:00,word.exe,0,53.7,1747.2,Operations
EMP-1093,2024-01-01 10:29:00,word.exe,0,80.1,4011.1,Human Resources
EMP-1084,2024-01-01 00:35:00,teams.exe,0,83.4,1932.2,Sales
EMP-1091,2024-01-01 13:34:00,nmap.exe,1,78.8,3997.9,Engineering
EMP-1098,2024-01-01 06:44:00,teams.exe,0,13.0,3589.8,Research & Development
EMP-1093,2024-01-01 02:08:00,word.exe,0,63.7,3618.4,Human Resources
EMP-1054,2024-01-01 11:11:00,zoom.exe,0,74.0,2717.3,Sales
EMP-1049,2024-01-01 11:02:00,outlook.exe,0,0.0,367.2,Marketing
EMP-1037,2024-01-01 14:36:00,outlook.exe,0,96.2,1637.9,Executive
EMP-1018,2024-01-01 13:44:00,word.exe,0,18.8,4049.9,Research & Development
EMP-1083,2024-01-01 23:56:00,zoom.exe,0,78.9,1268.4,Human Resources
EMP-1092,2024-01-01 22:14:00,word.exe,0,52.0,3697.6,Finance
EMP-1024,2024-01-01 00:32:00,zoom.exe,0,23.6,2563.7,Sales
EMP-1037,2024-01-01 13:48:00,word.exe,0,43.4,227.3,Executive
EMP-1079,2024-01-01 12:04:00,excel.exe,0,80.6,967.0,Marketing
EMP-1011,2024-01-01 05:31:00,zoom.exe,0,80.4,726.3,Engineering
EMP-1094,2024-01-01 18:21:00,excel.exe,0,72.1,35.8,Sales
EMP-1091,2024-01-01 10:28:00,slack.exe,0,38.6,1344.1,Engineering
EMP-1064,2024-01-01 10:42:00,python.exe,0,14.8,2201.3,Sales
EMP-1092,2024-01-01 04:28:00,teams.exe,0,56.5,559.9,Finance
EMP-1027,2024-01-01 17:01:00,chrome.exe,0,6.3,1675.8,Executive
EMP-1047,2024-01-01 08:44:00,outlook.exe,0,55.6,4014.3,Executive
EMP-1081,2024-01-01 16:04:00,outlook.exe,0,51.4,1356.7,Engineering
EMP-1008,2024-01-01 10:48:00,word.exe,0,90.2,251.1,Research & Development
EMP-1021,2024-01-01 02:47:00,chrome.exe,0,7.2,3967.9,Engineering
EMP-1005,2024-01-01 14:46:00,teams.exe,0,34.1,2444.6,Legal
EMP-1058,2024-01-01 06:02:00,python.exe,0,61.8,2079.6,Research & Development
EMP-1027,2024-01-01 10:07:00,teams.exe,0,50.3,2839.7,Executive
EMP-1066,2024-01-01 00:15:00,python.exe,0,86.4,3599.9,IT Security
EMP-1016,2024-01-01 21:14:00,teams.exe,0,45.3,1762.6,IT Security
EMP-1019,2024-01-01 20:34:00,outlook.exe,0,22.0,1831.9,Marketing
EMP-1058,2024-01-01 05:15:00,filezilla.exe,1,23.7,2216.3,Research & Development
EMP-1053,2024-01-01 03:02:00,word.exe,0,36.7,557.5,Human Resources
EMP-1042,2024-01-01 14:59:00,teams.exe,0,16.3,3053.5,Finance
EMP-1090,2024-01-01 15:47:00,zoom.exe,0,36.6,3091.4,Operations
EMP-1081,2024-01-01 06:21:00,code.exe,0,50.2,2410.3,Engineering
EMP-1099,2024-01-01 23:50:00,code.exe,0,51.1,1159.4,Marketing
EMP-1060,2024-01-01 14:07:00,python.exe,0,8.6,3693.2,Operations
EMP-1023,2024-01-01 21:47:00,chrome.exe,0,85.2,3558.2,Human Resources
EMP-1054,2024-01-01 20:52:00,teams.exe,0,94.9,569.2,Sales
EMP-1063,2024-01-01 19:14:00,notepad.exe,0,37.6,1224.7,Human Resources
EMP-1009,2024-01-01 18:10:00,excel.exe,0,12.4,2257.1,Marketing
EMP-1078,2024-01-01 03:33:00,excel.exe,0,53.4,1971.9,Research & Development
EMP-1018,2024-01-01 21:23:00,word.exe,0,18.9,3594.9,Research & Development
EMP-1023,2024-01-01 00:45:00,outlook.exe,0,22.0,1459.9,Human Resources
EMP-1055,2024-01-01 21:20:00,chrome.exe,0,69.2,1207.3,Legal
EMP-1011,2024-01-01 23:12:00,python.exe,0,67.6,2321.4,Engineering
EMP-1087,2024-01-01 04:17:00,zoom.exe,0,45.4,3922.6,Executive
EMP-1073,2024-01-01 01:32:00,code.exe,0,50.9,62.6,Human Resources
EMP-1086,2024-01-01 08:15:00,teams.exe,0,11.0,3786.1,IT Security
EMP-1057,2024-01-01 08:45:00,slack.exe,0,33.4,1049.6,Executive
EMP-1099,2024-01-01 20:08:00,zoom.exe,0,51.1,1837.1,Marketing
EMP-1063,2024-01-01 00:13:00,python.exe,0,29.5,1462.3,Human Resources
EMP-1082,2024-01-01 18:09:00,chrome.exe,0,77.9,3898.7,Finance
EMP-1005,2024-01-01 18:39:00,python.exe,0,44.8,2944.3,Legal
EMP-1068,2024-01-01 00:07:00,zoom.exe,0,11.4,3052.1,Research & Development
EMP-1085,2024-01-01 14:38:00,code.exe,0,73.3,1833.9,Legal
EMP-1012,2024-01-01 08:45:00,outlook.exe,0,62.8,2724.7,Finance
EMP-1088,2024-01-01 16:39:00,anydesk.exe,1,37.0,1614.1,Research & Development
EMP-1083,2024-01-01 03:53:00,notepad.exe,0,31.0,2815.7,Human Resources
EMP-1012,2024-01-01 09:39:00,zoom.exe,0,24.0,3299.0,Finance
EMP-1078,2024-01-01 22:01:00,zoom.exe,0,14.0,1249.6,Research & Development
EMP-1081,2024-01-01 10:45:00,excel.exe,0,14.5,3373.2,Engineering
EMP-1038,2024-01-01 12:57:00,word.exe,0,27.9,3222.4,Research & Development
EMP-1099,2024-01-01 20:18:00,teams.exe,0,8.9,1391.7,Marketing
EMP-1081,2024-01-01 18:40:00,teams.exe,0,12.2,2922.2,Engineering
EMP-1054,2024-01-01 19:15:00,notepad.exe,0,93.9,82.6,Sales
EMP-1041,2024-01-01 19:36:00,chrome.exe,0,40.3,1843.3,Engineering
EMP-1026,2024-01-01 09:24:00,zoom.exe,0,67.1,3326.5,IT Security
EMP-1088,2024-01-01 23:38:00,filezilla.exe,1,54.2,1626.8,Research & Development
EMP-1039,2024-01-01 11:35:00,slack.exe,0,55.3,2033.7,Marketing
