user,mean_login_hour,std_login_hour,mean_logout_hour,mean_session_duration,total_logins,failed_logins,failed_login_ratio,weekend_logins,after_hours_logins,unique_locations,suspicious_locations,files_per_day,total_file_accesses,classified_access_count,classified_access_ratio,file_downloads,file_deletions,file_copies,total_bytes_file,mean_bytes_file,unique_files_accessed,out_of_session_access,out_of_session_ratio,usb_events,usb_per_day,total_bytes_usb,mean_usb_duration,max_bytes_usb,emails_per_day,total_emails,external_emails,external_email_ratio,emails_with_attachment,total_attachment_bytes,total_network_events,total_bytes_sent,total_bytes_received,mean_bytes_sent,unique_dst_ips,unique_dst_ports,port_scans,suspicious_geo_connections,ssh_ftp_connections,vpn_sessions,vpn_total_upload,vpn_total_download,vpn_suspicious_geo,total_processes,suspicious_processes,suspicious_process_ratio,mean_cpu,max_memory,degree_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient,neighbor_count,nlp_keyword_flag_avg,nlp_suspicious_kw_total,nlp_exfil_flag_avg,nlp_subject_len_avg,nlp_sentiment_avg,nlp_caps_ratio_avg,is_red_team,threat_scenario
EMP-1001,9.045454545454543,0.6184799774588362,17.015151515151516,7.9742424242424255,66,2,0.0294117647058823,3,0,1,0,4.067415730337078,362,19,0.0524861878453038,76,8,43,2792522639,7714150.936464088,43,76,0.76,31,0.348314606741573,3066238695,81.48387096774194,470603539,3.0,267,23,0.0861423220973782,70,343757338,543,2792083224,13691615453,5141958.055248619,259,65,0,55,26,39,10500090417,36720198887,0,283,10,0.0353356890459364,51.54840989399293,4092.6,0.324468085106383,0.0031773329345161,0.0723052885390726,0,61,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1002,8.954545454545455,0.6428737926581806,17.151515151515152,8.185151515151516,66,2,0.0294117647058823,3,0,1,0,3.438202247191011,306,8,0.0261437908496732,37,7,47,2305248281,7533491.114379085,37,72,0.72,12,0.1348314606741573,1623422379,79.66666666666667,472441663,2.5730337078651684,229,20,0.0873362445414847,54,296547245,576,2772745680,14276781392,4813794.583333333,252,64,0,53,30,36,9048040445,28495937282,0,352,17,0.0482954545454545,47.61960227272727,4088.6,0.25,0.0015033192378538,0.0597319137532406,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1003,8.969696969696969,0.6786796450506384,16.803030303030305,7.822424242424242,66,0,0.0,1,0,1,0,3.764044943820225,335,10,0.0298507462686567,45,14,37,2252878588,6725010.710447761,40,75,0.75,17,0.1910112359550561,1445903696,87.0,457146969,2.808988764044944,250,12,0.048,54,262850764,587,2892836417,14397269119,4928171.0681431005,254,73,0,43,44,27,6822159323,29275650045,4,324,13,0.0401234567901234,50.83641975308642,4086.9,0.25,0.0015125364341302,0.0598176803571426,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1004,8.090909090909092,0.6499058565497179,15.666666666666666,7.600454545454546,66,0,0.0,1,0,1,0,3.842696629213483,342,12,0.0350877192982456,51,6,36,2240864566,6552235.573099415,39,83,0.83,17,0.1910112359550561,2486907012,89.70588235294117,436651833,2.955056179775281,263,21,0.0798479087452471,71,463578071,519,2620319955,13022464584,5048786.040462428,244,66,0,39,25,40,9956086772,42816488307,3,311,13,0.0418006430868167,50.80868167202573,4094.6,0.2765957446808511,0.0020518658396908,0.0641412003925216,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1005,9.063492063492063,0.6689668460133342,17.238095238095237,8.17095238095238,63,3,0.0454545454545454,1,0,1,0,3.49438202247191,311,70,0.22508038585209,50,9,38,2294323613,7377246.344051447,54,81,0.81,19,0.2134831460674157,1507652844,76.84210526315789,460403684,2.808988764044944,250,24,0.096,60,335712346,590,2828354855,14992951292,4793821.788135593,266,70,0,37,39,43,9648874360,40801461529,0,308,16,0.0519480519480519,50.20811688311688,4092.2,0.3670212765957447,0.004026209428098,0.0809059691264912,0,69,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1006,8.0,0.6324555320336759,15.909090909090908,7.881969696969696,66,2,0.0294117647058823,2,0,1,0,3.9213483146067416,349,88,0.2521489971346705,50,11,36,2269246450,6502138.8252149,52,79,0.79,19,0.2134831460674157,1842659487,97.63157894736842,496488217,2.9101123595505616,259,29,0.1119691119691119,55,495090770,594,3030396411,15048391532,5101677.45959596,264,72,0,57,35,42,11595585443,42923494790,3,296,10,0.0337837837837837,52.30304054054054,4079.4,0.351063829787234,0.0036103032160781,0.0781544801947879,0,66,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1007,7.942857142857143,0.6996005959037055,15.885714285714286,7.939142857142856,70,1,0.0140845070422535,6,0,1,0,3.842696629213483,342,88,0.2573099415204678,43,7,49,2407231322,7038688.076023391,54,64,0.64,20,0.2247191011235955,1947234992,93.95,403255025,2.662921348314607,237,13,0.0548523206751054,55,348840351,573,2970584978,14205345135,5184266.977312391,245,71,0,51,32,27,5791705067,24100769880,2,314,16,0.0509554140127388,47.42165605095541,4083.5,0.3617021276595744,0.0038715405600899,0.0800156025976483,0,68,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1008,8.878787878787879,0.6909336273400488,16.803030303030305,7.836060606060605,66,1,0.0149253731343283,2,0,1,0,3.707865168539326,330,86,0.2606060606060606,46,10,35,2209184995,6694499.984848484,54,79,0.79,14,0.1573033707865168,1135188152,84.71428571428571,373601005,3.0786516853932584,274,17,0.0620437956204379,70,722413801,592,2800629339,14389375669,4730792.802364865,262,74,0,52,25,41,11303658605,40346366730,1,317,7,0.0220820189274447,49.26340694006309,4084.2,0.3297872340425531,0.0029053141194924,0.0751603373115538,0,62,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1009,7.015625,0.6544642180428298,15.140625,8.18046875,64,5,0.072463768115942,3,0,1,0,3.550561797752809,316,15,0.0474683544303797,44,8,34,2192569616,6938511.443037975,45,77,0.77,17,0.1910112359550561,1306700162,92.41176470588236,453946611,2.820224719101124,251,22,0.0876494023904382,58,350475784,606,2924972010,15557374304,4826686.485148515,260,61,0,49,37,31,6878034883,33592122991,1,311,11,0.0353697749196141,49.28135048231511,4066.9,0.2978723404255319,0.0023576252533625,0.0686730379721799,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
EMP-1010,10.088235294117649,0.7675371373706915,18.0,7.96529411764706,68,0,0.0,3,0,1,0,3.9213483146067416,349,14,0.0401146131805157,55,11,49,2674790665,7664156.633237822,39,76,0.76,14,0.1573033707865168,2121427498,83.57142857142857,499855239,2.7865168539325844,248,19,0.0766129032258064,67,371562689,566,2805244889,13982697585,4956263.054770318,260,64,0,50,34,29,7989513340,25673660914,1,307,15,0.0488599348534201,50.53745928338762,4074.9,0.2659574468085106,0.0018319192698124,0.0624238089434019,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,benign
