user,connect_time,disconnect_time,duration_hrs,vpn_ip,geo_location,bytes_uploaded,bytes_downloaded,department
EMP-1006,2024-01-01 03:20:00,2024-01-01 04:55:14.975510,1.59,172.16.123.195,Berlin,265393635,1288727423,IT Security
EMP-1015,2024-01-01 08:10:00,2024-01-01 17:07:49.704525,8.96,172.16.222.75,Berlin,218811269,200009949,Legal
EMP-1004,2024-01-01 20:20:00,2024-01-02 02:20:59.119671,6.02,172.16.60.237,Remote,486999771,384374395,Sales
EMP-1033,2024-01-01 03:43:00,2024-01-01 13:19:53.460263,9.61,172.16.128.18,Moscow,463702216,1164762682,Human Resources
EMP-1082,2024-01-01 11:13:00,2024-01-01 22:11:05.853582,10.97,172.16.12.83,Bangalore,123882305,180141403,Finance
EMP-1030,2024-01-01 05:07:00,2024-01-01 11:56:46.694513,6.83,172.16.140.36,SanFrancisco,228706852,1856954468,Operations
EMP-1028,2024-01-01 12:04:00,2024-01-01 22:22:46.376484,10.31,172.16.163.87,NewYork,17918083,1164683919,Research & Development
EMP-1072,2024-01-01 09:18:00,2024-01-01 20:14:59.899108,10.95,172.16.254.56,London,24539518,1035871879,Finance
EMP-1009,2024-01-01 07:45:00,2024-01-01 12:52:32.031355,5.13,172.16.123.209,Moscow,64108625,1401809795,Marketing
EMP-1077,2024-01-01 23:28:00,2024-01-02 07:43:30.810634,8.26,172.16.34.133,London,12877453,1612928101,Executive
EMP-1045,2024-01-01 16:07:00,2024-01-01 22:54:49.623536,6.8,172.16.143.9,Berlin,151688028,1566919974,Legal
EMP-1042,2024-01-01 06:26:00,2024-01-01 17:58:16.749381,11.54,172.16.249.212,Bangalore,86226541,1642340276,Finance
EMP-1047,2024-01-01 20:18:00,2024-01-02 04:05:01.935962,7.78,172.16.209.35,Bangalore,90244865,480411221,Executive
EMP-1090,2024-01-01 20:10:00,2024-01-02 04:36:13.588870,8.44,172.16.198.63,Berlin,20021307,222615806,Operations
EMP-1029,2024-01-01 13:07:00,2024-01-01 19:09:53.201960,6.05,172.16.150.136,Berlin,387952868,65099409,Marketing
EMP-1066,2024-01-01 17:11:00,2024-01-01 21:13:04.429370,4.03,172.16.6.64,Bangalore,341493367,1997824849,IT Security
EMP-1049,2024-01-01 10:52:00,2024-01-01 13:13:44.932625,2.36,172.16.165.124,London,228498953,177120167,Marketing
EMP-1063,2024-01-01 15:58:00,2024-01-02 02:46:00.273671,10.8,172.16.65.32,Remote,379352661,1373059522,Human Resources
EMP-1004,2024-01-01 04:25:00,2024-01-01 14:39:49.791660,10.25,172.16.39.11,Unknown,91397302,1810803574,Sales
EMP-1057,2024-01-01 00:02:00,2024-01-01 06:27:16.823561,6.42,172.16.163.120,NewYork,159532146,1875941580,Executive
EMP-1072,2024-01-01 08:14:00,2024-01-01 12:17:53.230982,4.06,172.16.156.210,London,137229091,213261541,Finance
EMP-1024,2024-01-01 07:52:00,2024-01-01 16:57:20.134266,9.09,172.16.235.147,NewYork,349120068,333031840,Sales
EMP-1051,2024-01-01 22:50:00,2024-01-02 07:07:53.614108,8.3,172.16.124.71,Shanghai,476167825,1338173344,Engineering
EMP-1013,2024-01-01 08:40:00,2024-01-01 10:29:31.549922,1.83,172.16.137.104,SanFrancisco,36637201,1084853713,Human Resources
EMP-1081,2024-01-01 21:49:00,2024-01-02 04:15:06.697610,6.44,172.16.31.105,Berlin,418989914,22475396,Engineering
EMP-1076,2024-01-01 05:59:00,2024-01-01 13:30:30.574284,7.53,172.16.153.186,Remote,23268069,729228639,IT Security
EMP-1027,2024-01-01 00:01:00,2024-01-01 09:28:03.290887,9.45,172.16.227.200,NewYork,221063554,1835094968,Executive
EMP-1067,2024-01-01 16:30:00,2024-01-01 18:43:04.944436,2.22,172.16.49.135,Shanghai,296468503,1608359385,Executive
EMP-1015,2024-01-01 10:30:00,2024-01-01 14:09:28.369291,3.66,172.16.117.129,Berlin,264878089,1056343270,Legal
EMP-1043,2024-01-01 21:31:00,2024-01-01 22:33:54.545143,1.05,172.16.73.150,NewYork,181566510,699797902,Human Resources
EMP-1029,2024-01-01 08:36:00,2024-01-01 09:27:33.740563,0.86,172.16.195.174,Berlin,94211822,1851500272,Marketing
EMP-1004,2024-01-01 02:16:00,2024-01-01 06:11:15.605165,3.92,172.16.6.176,Remote,270702720,1718538278,Sales
EMP-1020,2024-01-01 16:37:00,2024-01-01 18:26:33.774192,1.83,172.16.219.54,Bangalore,322050796,372264426,Operations
EMP-1076,2024-01-02 03:58:00,2024-01-02 13:31:48.194134,9.56,172.16.182.146,Remote,364734985,473610397,IT Security
EMP-1073,2024-01-02 14:25:00,2024-01-02 20:57:56.741189,6.55,172.16.128.226,SanFrancisco,25000013,1434617448,Human Resources
EMP-1009,2024-01-02 12:09:00,2024-01-02 22:51:52.548790,10.71,172.16.39.92,SanFrancisco,477265946,1673231824,Marketing
EMP-1058,2024-01-02 03:54:00,2024-01-02 09:10:12.366082,5.27,172.16.252.226,London,102119328,334181783,Research & Development
EMP-1027,2024-01-02 15:07:00,2024-01-03 01:28:36.179035,10.36,172.16.179.13,NewYork,214168888,128420117,Executive
EMP-1078,2024-01-02 00:08:00,2024-01-02 11:07:51.156639,11.0,172.16.88.167,London,7050370,692125054,Research & Development
EMP-1084,2024-01-02 05:45:00,2024-01-02 09:36:23.468159,3.86,172.16.8.110,SanFrancisco,451623454,867740014,Sales
EMP-1090,2024-01-02 00:08:00,2024-01-02 06:35:22.330089,6.46,172.16.38.180,Berlin,373248039,1304146883,Operations
EMP-1060,2024-01-02 10:43:00,2024-01-02 13:49:37.952916,3.11,172.16.17.180,Berlin,187933354,1109026203,Operations
EMP-1014,2024-01-02 01:48:00,2024-01-02 04:16:54.356329,2.48,172.16.123.222,London,133409294,259165433,Sales
EMP-1095,2024-01-02 11:01:00,2024-01-02 13:41:11.165181,2.67,172.16.172.214,SanFrancisco,30556217,28026100,Legal
EMP-1073,2024-01-02 22:14:00,2024-01-02 22:51:09.235108,0.62,172.16.59.30,SanFrancisco,208659362,1721709225,Human Resources
EMP-1079,2024-01-02 18:21:00,2024-01-02 23:30:24.400029,5.16,172.16.69.104,Remote,172293212,1840614834,Marketing
EMP-1066,2024-01-02 01:59:00,2024-01-02 04:03:06.014300,2.07,172.16.154.146,Bangalore,429504070,503284619,IT Security
EMP-1080,2024-01-02 02:54:00,2024-01-02 14:40:44.554726,11.78,172.16.177.205,SanFrancisco,93637878,298638261,Operations
EMP-1002,2024-01-03 22:06:00,2024-01-04 09:21:23.620302,11.26,172.16.58.204,NewYork,467404389,309976158,Finance
EMP-1006,2024-01-03 19:02:00,2024-01-03 20:22:23.289048,1.34,172.16.167.65,Berlin,56345795,1539041680,IT Security
EMP-1003,2024-01-03 22:48:00,2024-01-04 08:16:10.924587,9.47,172.16.161.73,Berlin,375007039,1894531353,Human Resources
EMP-1033,2024-01-03 07:03:00,2024-01-03 11:43:05.583929,4.67,172.16.22.71,Remote,311678074,57344247,Human Resources
EMP-1096,2024-01-03 10:56:00,2024-01-03 17:36:09.997945,6.67,172.16.58.67,Remote,169597649,1641321726,IT Security
EMP-1065,2024-01-03 06:46:00,2024-01-03 07:19:10.141797,0.55,172.16.59.7,Remote,441034158,73422959,Legal
EMP-1001,2024-01-03 19:29:00,2024-01-03 23:25:00.107491,3.93,172.16.197.45,London,352168155,1647293241,Engineering
EMP-1080,2024-01-03 18:54:00,2024-01-03 21:31:58.369372,2.63,172.16.220.187,SanFrancisco,298376870,130536386,Operations
EMP-1038,2024-01-03 05:22:00,2024-01-03 13:47:35.482798,8.43,172.16.255.180,Remote,423131245,412349356,Research & Development
EMP-1003,2024-01-03 02:43:00,2024-01-03 13:46:26.089103,11.06,172.16.88.182,Berlin,197495703,419828561,Human Resources
EMP-1075,2024-01-03 15:54:00,2024-01-03 19:04:11.770532,3.17,172.16.108.195,Bangalore,302129529,1485558408,Legal
EMP-1054,2024-01-03 20:19:00,2024-01-04 06:52:43.985837,10.56,172.16.137.221,Remote,160055670,1140104163,Sales
EMP-1096,2024-01-03 19:56:00,2024-01-03 20:55:22.827983,0.99,172.16.129.249,Remote,457393715,1347586583,IT Security
EMP-1090,2024-01-03 15:23:00,2024-01-03 17:34:43.293545,2.2,172.16.59.112,Berlin,479161789,1911347298,Operations
EMP-1013,2024-01-03 20:13:00,2024-01-04 01:33:54.802449,5.35,172.16.241.42,SanFrancisco,110912333,616984148,Human Resources
EMP-1006,2024-01-03 22:31:00,2024-01-04 09:57:56.432640,11.45,172.16.205.247,Berlin,316846174,894849381,IT Security
EMP-1016,2024-01-03 13:37:00,2024-01-03 22:09:00.623713,8.53,172.16.112.79,SanFrancisco,351336170,882791774,IT Security
EMP-1076,2024-01-03 23:52:00,2024-01-04 05:43:12.388454,5.85,172.16.73.56,Remote,117445613,746341405,IT Security
EMP-1079,2024-01-03 15:04:00,2024-01-03 22:28:45.181888,7.41,172.16.227.253,Remote,477832198,622203840,Marketing
EMP-1069,2024-01-03 00:58:00,2024-01-03 08:18:54.359289,7.35,172.16.246.122,SanFrancisco,499727978,1370504386,Marketing
EMP-1054,2024-01-03 10:21:00,2024-01-03 21:40:22.461485,11.32,172.16.164.140,Remote,415745157,1883009836,Sales
EMP-1022,2024-01-03 02:47:00,2024-01-03 08:53:44.976445,6.11,172.16.188.252,NewYork,15915690,1572104391,Finance
EMP-1060,2024-01-03 15:46:00,2024-01-04 02:02:43.104905,10.28,172.16.99.111,Berlin,168515113,250459517,Operations
EMP-1087,2024-01-03 06:06:00,2024-01-03 15:57:47.068042,9.86,172.16.228.206,SanFrancisco,411074618,1634566641,Executive
EMP-1072,2024-01-03 22:43:00,2024-01-04 10:25:49.672418,11.71,172.16.82.182,London,336425670,722645981,Finance
EMP-1024,2024-01-03 22:06:00,2024-01-03 23:47:55.534408,1.7,172.16.172.24,NewYork,206075633,1633537977,Sales
EMP-1038,2024-01-03 23:01:00,2024-01-04 10:09:21.565804,11.14,172.16.80.124,Remote,307059495,145404569,Research & Development
EMP-1024,2024-01-03 21:47:00,2024-01-04 05:02:04.067644,7.25,172.16.113.78,NewYork,332360541,634342024,Sales
EMP-1078,2024-01-03 02:18:00,2024-01-03 03:50:03.418850,1.53,172.16.126.35,London,395441541,910874459,Research & Development
EMP-1028,2024-01-03 22:33:00,2024-01-04 04:45:48.346402,6.21,172.16.212.159,Shanghai,134117763,1893890303,Research & Development
EMP-1030,2024-01-03 14:00:00,2024-01-04 00:24:50.435979,10.41,172.16.139.130,SanFrancisco,107267480,1237642292,Operations
EMP-1039,2024-01-03 06:38:00,2024-01-03 09:38:30.520361,3.01,172.16.53.35,Bangalore,170982315,1241254020,Marketing
